RegionType,RegionName,City,State,Metro,CBSATitle,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
City,Thornton,Thornton,CO,"Denver, CO","Denver-Aurora-Lakewood, CO",254,9.468952734,97.86,2.7052,1.5262,276900,0.617732558,14.32700248,0.046554713,88.2,0.058595272,0.006083491,60
City,Frederick,Frederick,MD,"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",255,0.405931418,66.67,17.9428,6.7688,253700,-0.782166601,2.298387097,0.009361451,63.9,0.187514412,0.056952024,112
City,Westminster,Westminster,CO,"Denver, CO","Denver-Aurora-Lakewood, CO",256,9.65987025,97.84,3.2373,0.9468,284400,0.815313719,15.18833536,0.048393108,36.6,0.050179098,0.012359083,57
City,Lansing Township,Lansing Township,MI,"Lansing, MI","Lansing-East Lansing, MI",257,0.982391103,27.27,,,64300,0.31201248,-0.310077519,0.019580093,26.4,0.379550058,0.029402896,106
City,Victorville,Victorville,CA,"Riverside, CA","Riverside-San Bernardino-Ontario, CA",258,5.397590361,96.23,13.2315,3.5374,194500,0.56876939,7.221609702,0.059485861,83.2,0.233271465,0.049637186,87
City,Waterbury,Waterbury,CT,"New Haven, CT","New Haven-Milford, CT",259,0.503243744,47.37,9.6703,0.4967,99700,-0.3,-2.826510721,0.000170512,93.6,0.378052833,0.094651138,132
City,New Port Richey,New Port Richey,FL,"Tampa, FL","Tampa-St. Petersburg-Clearwater, FL",260,0.506024096,75.31,,,128000,0.078186083,3.727714749,0.00684375,98.6,0.174089027,0.079665325,101
City,Temecula,Temecula,CA,"Riverside, CA","Riverside-San Bernardino-Ontario, CA",261,7.213160334,81.93,5.6266,2.5238,407000,0.172286488,3.906050549,0.048953317,55,0.115297906,0.03183007,80
City,Miami Gardens,Miami Gardens,FL,"Miami-Fort Lauderdale, FL","Miami-Fort Lauderdale-West Palm Beach, FL",262,0.991658943,81.82,,,159900,1.074589128,12.28932584,-0.004771732,139,0.251127426,0.117180766,95
City,Costa Mesa,Costa Mesa,CA,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA",263,8.137164041,92.11,1.5377,0.6249,691700,0.319071791,7.107463611,0.016907619,37.4,0.042039009,0.033794898,70
City,Athens,Athens,GA,"Athens, GA","Athens-Clarke County, GA",264,5.05931418,75,,,135200,0.44576523,5.873140172,0.03522929,30.3,0.179245389,0.026303335,119
City,Manchester,Manchester,NH,"Manchester, NH","Manchester-Nashua, NH",265,5.434661724,72.73,,,193500,0.415153088,6.435643564,0.029002584,41.7,0.181228026,0.025022242,88.5
City,Vista,Vista,CA,"San Diego, CA","San Diego-Carlsbad, CA",266,8.467099166,92.16,3.4485,2.7304,455800,0.684780208,6.024656897,0.028411584,51.7,0.07772862,0.025267334,74
City,Tracy,Tracy,CA,"Stockton, CA","Stockton-Lodi, CA",267,7.879518072,87.18,6.1117,1.5642,408000,0.840336134,8.626198083,0.066502451,69.1,0.11496062,0.037555523,67
City,Ventura,Ventura,CA,"Ventura, CA","Oxnard-Thousand Oaks-Ventura, CA",268,9.351251158,87.5,4.9661,1.3734,521100,0.676197836,7.134046053,0.040901938,41.6,0.075141295,0.024940353,74.5
City,Murrieta,Murrieta,CA,"Riverside, CA","Riverside-San Bernardino-Ontario, CA",269,4.788693234,78.38,8.1534,2.1245,369800,0.352781547,2.979671401,0.050811249,64,0.139385477,0.035282033,74.5
City,Peoria,Peoria,IL,"Peoria, IL","Peoria, IL",270,1.515291937,71.05,,,87300,-0.228571429,0.460299194,0.036449026,121.4,0.139551141,0.033255519,133.5
